"dataora","NomeTipoSensoreENG","anno","valore"
"2001-01-31","O3 - Ozone",2001,17.7408453488372
"2001-01-31","PM10",2001,80.625
"2001-02-01","CO - Carbon Monoxide",2001,1.65835497419355
"2001-02-01","NO - Nitric Oxide",2001,146.172283367347
"2001-02-01","NO2 - Nitrogen Dioxide",2001,51.5841103428571
"2001-02-01","O3 - Ozone",2001,28.7312774418605
"2001-02-01","PM10",2001,47.5
"2001-02-02","CO - Carbon Monoxide",2001,1.90621879344262
"2001-02-02","NO - Nitric Oxide",2001,180.841180707071
"2001-02-02","NO2 - Nitrogen Dioxide",2001,57.5683393396226
"2001-02-02","O3 - Ozone",2001,28.648317372093
"2001-02-02","PM10",2001,66.6666666666667
"2001-02-03","CO - Carbon Monoxide",2001,2.17262124098361
"2001-02-03","NO - Nitric Oxide",2001,205.216852755102
"2001-02-03","NO2 - Nitrogen Dioxide",2001,71.2364940952381
"2001-02-03","O3 - Ozone",2001,13.7147372325581
"2001-02-03","PM10",2001,78.4583333333333
"2001-02-04","CO - Carbon Monoxide",2001,2.02286770163934
"2001-02-04","NO - Nitric Oxide",2001,174.243294123711
"2001-02-04","NO2 - Nitrogen Dioxide",2001,69.0052
"2001-02-04","O3 - Ozone",2001,11.9778821162791
"2001-02-04","PM10",2001,84.5
"2001-02-05","CO - Carbon Monoxide",2001,2.19137674193548
"2001-02-05","NO - Nitric Oxide",2001,187.073923469388
"2001-02-05","NO2 - Nitrogen Dioxide",2001,70.2894229523809
"2001-02-05","O3 - Ozone",2001,11.5112144418605
"2001-02-05","PM10",2001,79.4761904761905
"2001-02-06","CO - Carbon Monoxide",2001,2.80344276
"2001-02-06","NO - Nitric Oxide",2001,301.439823402062
"2001-02-06","NO2 - Nitrogen Dioxide",2001,72.4730622857143
"2001-02-06","O3 - Ozone",2001,8.16605882093023
"2001-02-06","PM10",2001,106.636363636364
"2001-02-07","CO - Carbon Monoxide",2001,2.68929640983607
"2001-02-07","NO - Nitric Oxide",2001,298.561135051546
"2001-02-07","NO2 - Nitrogen Dioxide",2001,77.923802
"2001-02-07","O3 - Ozone",2001,7.1700137744186
