IdSensore,Tipologia,UnitaDiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,location
19108,Direzione Vento,∞,596,Osio Sotto v.per Levate,182,BG,30/01/2014,,N,5052072,547691,9.611737822,45.62055568,"(45.62055567939559, 9.611737821812373)"
22026,Umidita'† Relativa,%,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,5087930,477812,8.713738581,45.94458167,"(45.94458167053537, 8.713738581276651)"
5858,Precipitazione,mm,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,5052072,547691,9.611737822,45.62055568,"(45.62055567939559, 9.611737821812373)"
17568,Direzione Vento,∞,858,Santa Margherita di Staffora Casanova,575,PV,30/11/2018,,N,4957210,518916,9.239041605,44.76803191,"(44.76803190890912, 9.239041605384262)"
2384,Radiazione Globale,W/m≤,127,Casatenovo tetto,360,LC,10/11/2003,,N,5060979,524066,9.309144812,45.70194614,"(45.70194614072786, 9.309144812286515)"
14546,Temperatura,∞C,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.50034312,45.5798286,"(45.5798285986204, 10.500343116277602)"
8154,Livello Idrometrico,cm,816,Sermide e Felonica SP 91,10,MN,20/01/2000,,N,4987208,680433,11.28992597,45.01536309,"(45.015363087231634, 11.289925972511382)"
8223,Temperatura,∞C,816,Sermide e Felonica SP 91,10,MN,10/07/2003,,N,4987208,680433,11.28992597,45.01536309,"(45.015363087231634, 11.289925972511382)"
14545,Precipitazione,mm,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.50034312,45.5798286,"(45.5798285986204, 10.500343116277602)"
17507,Velocita'† Vento,m/s,816,Sermide e Felonica SP 91,10,MN,21/10/2018,,N,4987208,680433,11.28992597,45.01536309,"(45.015363087231634, 11.289925972511382)"
14548,Direzione Vento,∞,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.50034312,45.5798286,"(45.5798285986204, 10.500343116277602)"
17506,Radiazione Globale,W/m≤,816,Sermide e Felonica SP 91,10,MN,21/10/2018,,N,4987208,680433,11.28992597,45.01536309,"(45.015363087231634, 11.289925972511382)"
8222,Precipitazione,mm,816,Sermide e Felonica SP 91,10,MN,10/07/2003,,N,4987208,680433,11.28992597,45.01536309,"(45.015363087231634, 11.289925972511382)"
17578,Livello Idrometrico,cm,1881,Mezzana Bigli Passerella,76,PV,14/12/2018,,N,4990048,490350,8.877425676,45.06382594,"(45.06382594000262, 8.877425675828292)"
14547,Umidita'† Relativa,%,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.50034312,45.5798286,"(45.5798285986204, 10.500343116277602)"
14549,Velocita'† Vento,m/s,1376,Puegnago del Garda,291,BS,19/04/2013,,N,5048460,617051,10.50034312,45.5798286,"(45.5798285986204, 10.500343116277602)"
17509,Direzione Vento,∞,816,Sermide e Felonica SP 91,10,MN,21/10/2018,,N,4987208,680433,11.28992597,45.01536309,"(45.015363087231634, 11.289925972511382)"
29,Temperatura,∞C,13,Valdidentro Cancano,1948,SO,03/05/1988,,N,5152051,601015,10.3168218,46.51444736,"(46.514447363313245, 10.316821804332077)"
14313,Livello Idrometrico,cm,1352,Calvisano Mezzane,71,BS,31/10/2012,15/11/2018,S,5022526,609865,10.40246339,45.34763449,"(45.3476344909781, 10.402463389372352)"
14019,Radiazione Globale,W/m≤,1077,Oltre il Colle Zambla,1138,BG,13/01/2012,,N,5082261,561209,9.788939675,45.89119305,"(45.891193045896635, 9.78893967466926)"
2527,Umidita'† Relativa,%,139,Virgilio Mantova Cerese,19,MN,26/09/2003,19/09/2018,S,4997294,641005,10.7926481,45.11504743,"(45.115047425792355, 10.792648102258525)"
15,Livello Idrometrico,cm,8,Spriana Ponte sul Mallero,645,SO,01/05/1988,,N,5118488,566593,9.863393832,46.21670844,"(46.21670843699996, 9.86339383247257)"
6433,Radiazione Globale,W/m≤,582,Bergamo v.S.Giorgio,249,BG,01/01/1989,14/04/2010,S,5058641,552746,9.677286765,45.67931285,"(45.67931285015467, 9.677286764680007)"
4043,Umidita'† Relativa,%,145,Darfo Boario Terme,222,BS,06/06/2002,,N,5080789,591371,10.17735681,45.87460211,"(45.87460210989037, 10.17735680898138)"
8146,Temperatura,∞C,824,Clusone Campo Sportivo,591,BG,21/11/2001,21/07/2015,S,5081860,573451,9.946648908,45.88638609,"(45.88638608740617, 9.94664890837357)"
32404,Umidita'† Relativa,%,1680,Vilminore di Scalve Presolana,1856,BG,15/11/2017,,N,5092483,580679,10.041578,45.98117244,"(45.98117244427475, 10.041578002405918)"
43,Precipitazione,mm,30,Lanzada Campo Moro,1970,SO,28/10/1989,,N,5128438,571423,9.927516633,46.30575598,"(46.30575597591281, 9.927516632514688)"
1367,Temperatura,∞C,78,Tirano Monte Masuccio,1750,SO,01/01/2011,,N,5121837,590452,10.17331626,46.24408871,"(46.244088713270024, 10.17331625898132)"
35,Precipitazione,mm,23,Chiesa in Valmalenco S.Giuseppe,1428,SO,14/08/1987,,N,5128414,563900,9.829828867,46.30629072,"(46.30629072250093, 9.829828867286842)"
68,Altezza Neve,cm,30,Lanzada Campo Moro,1970,SO,01/02/1990,,N,5128438,571423,9.927516633,46.30575598,"(46.30575597591281, 9.927516632514688)"
100,Precipitazione,mm,52,Grosio Diga Fusino,1220,SO,01/01/2002,,N,5131141,595908,10.2459702,46.32705578,"(46.327055775545546, 10.245970197827939)"
40,Precipitazione,mm,27,Chiesa in Valmalenco Alpe dell' Oro,2040,SO,27/10/1989,,N,5130048,558743,9.763068827,46.32146157,"(46.321461574123596, 9.76306882659023)"
113,Precipitazione,mm,57,Branzi Caserma Carabinieri,830,BG,01/01/2002,,N,5094534,558779,9.759127833,46.00185756,"(46.0018575585613, 9.75912783256968)"
