idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
29001,BlackCarbon,µg/m³,501,Milano v.Marche,129,MI,Milano,S,2013-05-27T00:00:00.000,2015-05-28T00:00:00.000,5038105,514918,(45.496315, 9.190933)
29041,Benzene,µg/m³,561,Como v.Cattaneo,202,CO,Como,N,,,5073500,505203,(45.815044, 9.066972)
30129,Ammoniaca,µg/m³,631,Piadena v. Cavour,30,CR,Piadena,S,2013-07-09T00:00:00.000,2014-03-27T00:00:00.000,4998295,608506,(45.129795, 10.379831)
30158,Particelle sospese PM2.5,µg/m³,649,Brescia v.Broletto,149,BS,Brescia,N,2013-12-13T00:00:00.000,,5043674,595467,(45.54006, 10.222818)
30159,Ossidi di Azoto,µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2013-01-23T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
30160,Biossido di Azoto,µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2013-12-13T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
30162,Ossidi di Azoto,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2013-01-22T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
30163,Biossido di Azoto,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2013-12-13T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
30165,Ozono,µg/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2013-12-13T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
30166,Benzene,µg/m³,652,Brescia v.Turati,154,BS,Brescia,N,2016-01-01T00:00:00.000,,5043626,596168,(45.539528, 10.231786)
5504,Biossido di Azoto,µg/m³,501,Milano v.Marche,129,MI,Milano,N,1980-09-18T00:00:00.000,,5038105,514918,(45.496315, 9.190933)
5505,Biossido di Azoto,µg/m³,502,Milano v.Juvara,122,MI,Milano,S,1977-05-06T00:00:00.000,2007-06-11T00:00:00.000,5035546,517377,(45.473225, 9.222315)
5506,Biossido di Azoto,µg/m³,503,Milano P.zza Zavattari,122,MI,Milano,S,1980-09-18T00:00:00.000,2018-07-30T00:00:00.000,5035847,511082,(45.476063, 9.141787)
