idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
10083,PM10 (SM2005),µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,2006-12-20T00:00:00.000,,5030184,631718,(45.412773, 10.683357)
10085,Particelle sospese PM2.5,µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,2007-01-12T00:00:00.000,,5030184,631718,(45.412773, 10.683357)
10086,Ossidi di Azoto,µg/m³,696,Monzambano campo sportivo,88,MN,Monzambano,S,2006-12-01T00:00:00.000,,5027572,632338,(45.389153, 10.690577)
10087,Benzene,µg/m³,696,Monzambano campo sportivo,88,MN,Monzambano,S,2006-12-01T00:00:00.000,,5027572,632338,(45.389153, 10.690577)
10088,Biossido di Azoto,µg/m³,696,Monzambano campo sportivo,88,MN,Monzambano,S,2006-12-01T00:00:00.000,,5027572,632338,(45.389153, 10.690577)
10089,Monossido di Carbonio,mg/m³,696,Monzambano campo sportivo,88,MN,Monzambano,S,2006-12-01T00:00:00.000,,5027572,632338,(45.389153, 10.690577)
10095,Ossidi di Azoto,µg/m³,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,N,2006-11-29T00:00:00.000,,4990430,671752,(45.0465, 11.180936)
10096,Benzene,µg/m³,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,S,2006-11-29T00:00:00.000,,4990430,671752,(45.0465, 11.180936)
10097,Biossido di Azoto,µg/m³,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,N,2006-11-29T00:00:00.000,,4990430,671752,(45.0465, 11.180936)
10098,Biossido di Zolfo,µg/m³,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,S,2006-11-29T00:00:00.000,,4990430,671752,(45.0465, 11.180936)
10103,PM10 (SM2005),µg/m³,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,N,2007-01-01T00:00:00.000,,4990430,671752,(45.0465, 11.180936)
10106,Ossidi di Azoto,µg/m³,698,Ceneselli v. Moro,13,RO,Ceneselli,S,2006-11-29T00:00:00.000,2017-01-01T00:00:00.000,4987161,686934,(45.013256, 11.372345)
10108,Biossido di Azoto,µg/m³,698,Ceneselli v. Moro,13,RO,Ceneselli,S,2006-11-28T00:00:00.000,2017-01-01T00:00:00.000,4987161,686934,(45.013256, 11.372345)
10109,Biossido di Zolfo,µg/m³,698,Ceneselli v. Moro,13,RO,Ceneselli,S,2006-11-28T00:00:00.000,,4987161,686934,(45.013256, 11.372345)
10112,Ozono,µg/m³,698,Ceneselli v. Moro,13,RO,Ceneselli,S,2006-11-28T00:00:00.000,2017-01-01T00:00:00.000,4987161,686934,(45.013256, 11.372345)
10114,PM10 (SM2005),µg/m³,698,Ceneselli v. Moro,13,RO,Ceneselli,S,2007-01-01T00:00:00.000,2017-01-01T00:00:00.000,4987161,686934,(45.013256, 11.372345)
10117,Ossidi di Azoto,µg/m³,699,Magnacavallo campo sportivo,11,MN,Magnacavallo,S,2006-11-29T00:00:00.000,,4985830,671675,(45.005142, 11.178388)
10119,Biossido di Azoto,µg/m³,699,Magnacavallo campo sportivo,11,MN,Magnacavallo,S,2006-11-29T00:00:00.000,,4985830,671675,(45.005142, 11.178388)
10123,Ozono,µg/m³,699,Magnacavallo campo sportivo,11,MN,Magnacavallo,S,2006-11-29T00:00:00.000,,4985830,671675,(45.005142, 11.178388)
10129,Ossidi di Azoto,µg/m³,700,Melara v. dell'Artigianato,12,RO,Melara,S,2006-11-29T00:00:00.000,,4992347,673928,(45.063213, 11.20921)
10131,Biossido di Azoto,µg/m³,700,Melara v. dell'Artigianato,12,RO,Melara,S,2006-11-28T00:00:00.000,,4992347,673928,(45.063213, 11.20921)
10133,Monossido di Carbonio,mg/m³,700,Melara v. dell'Artigianato,12,RO,Melara,S,2006-11-28T00:00:00.000,,4992347,673928,(45.063213, 11.20921)
10141,Ossidi di Azoto,µg/m³,701,Ostiglia v.Colombo,14,MN,Ostiglia,S,2006-11-29T00:00:00.000,2017-01-01T00:00:00.000,4993316,668216,(45.07331, 11.137034)
10143,Biossido di Azoto,µg/m³,701,Ostiglia v.Colombo,14,MN,Ostiglia,S,2006-11-29T00:00:00.000,2017-01-01T00:00:00.000,4993316,668216,(45.07331, 11.137034)
10145,Monossido di Carbonio,mg/m³,701,Ostiglia v.Colombo,14,MN,Ostiglia,S,2006-11-29T00:00:00.000,2017-01-01T00:00:00.000,4993316,668216,(45.07331, 11.137034)
10149,PM10 (SM2005),µg/m³,701,Ostiglia v.Colombo,14,MN,Ostiglia,S,2007-01-01T00:00:00.000,2017-01-01T00:00:00.000,4993316,668216,(45.07331, 11.137034)
10153,Ossidi di Azoto,µg/m³,702,Pieve di Coriano v. Bugatte,16,MN,Pieve di Coriano,S,2006-11-29T00:00:00.000,,4988901,666747,(45.033943, 11.116919)
10155,Biossido di Azoto,µg/m³,702,Pieve di Coriano v. Bugatte,16,MN,Pieve di Coriano,S,2006-11-29T00:00:00.000,,4988901,666747,(45.033943, 11.116919)
10159,Ozono,µg/m³,702,Pieve di Coriano v. Bugatte,16,MN,Pieve di Coriano,S,2006-11-29T00:00:00.000,,4988901,666747,(45.033943, 11.116919)
10165,Ossidi di Azoto,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-11-29T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10166,Benzene,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-11-29T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10167,Biossido di Azoto,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-11-29T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10168,Biossido di Zolfo,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-12-13T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10169,Monossido di Carbonio,mg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-11-29T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10171,Ozono,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-11-29T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10173,PM10 (SM2005),µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2007-01-01T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10176,Particelle sospese PM2.5,µg/m³,703,Schivenoglia v. Malpasso,,MN,Schivenoglia,N,2006-12-13T00:00:00.000,,4986922,663580,(45.016876, 11.076095)
10177,Ossidi di Azoto,µg/m³,704,Sermide e Felonica v. Dalla Chiesa,11,MN,Sermide e Felonica,S,2006-11-29T00:00:00.000,2017-01-01T00:00:00.000,4986023,680789,(45.004612, 11.294015)
10179,Biossido di Azoto,µg/m³,704,Sermide e Felonica v. Dalla Chiesa,11,MN,Sermide e Felonica,S,2006-11-29T00:00:00.000,2017-01-01T00:00:00.000,4986023,680789,(45.004612, 11.294015)
10185,PM10 (SM2005),µg/m³,704,Sermide e Felonica v. Dalla Chiesa,11,MN,Sermide e Felonica,S,2007-01-01T00:00:00.000,2017-01-01T00:00:00.000,4986023,680789,(45.004612, 11.294015)
10197,Particelle sospese PM2.5,µg/m³,697,Borgofranco sul Po loc. Bonizzo,14,MN,Borgofranco sul Po,N,2006-12-01T00:00:00.000,,4990430,671752,(45.0465, 11.180936)
10258,Ammoniaca,µg/m³,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,57,CR,Corte de' Cortesi con Cignone,N,2006-11-22T00:00:00.000,,5014380,578919,(45.27849, 10.006203)
10259,Benzene,µg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N,2006-09-19T00:00:00.000,,5113078,567173,(46.167965, 9.870144)
10269,Ammoniaca,µg/m³,502,Milano v.Juvara,122,MI,Milano,S,2007-03-28T00:00:00.000,2007-06-11T00:00:00.000,5035546,517377,(45.473225, 9.222315)
10270,Ozono,µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2007-01-01T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
10273,PM10 (SM2005),µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-04-21T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
10278,Ossidi di Azoto,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-06-16T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
10279,Biossido di Azoto,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-06-16T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
10280,Biossido di Zolfo,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-06-16T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
10282,Ozono,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-06-16T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
10283,Particelle sospese PM2.5,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,N,2007-03-29T00:00:00.000,,5036190,518405,(45.478996, 9.235491)
10285,Ossidi di Azoto,µg/m³,706,Lecco v.Sora,272,LC,Lecco,N,2007-06-28T00:00:00.000,,5078987,531045,(45.86375, 9.39995)
10286,Biossido di Azoto,µg/m³,706,Lecco v.Sora,272,LC,Lecco,N,2007-06-27T00:00:00.000,,5078987,531045,(45.86375, 9.39995)
10288,Ozono,µg/m³,706,Lecco v.Sora,272,LC,Lecco,N,2007-06-28T00:00:00.000,,5078987,531045,(45.86375, 9.39995)
10290,PM10 (SM2005),µg/m³,706,Lecco v.Sora,272,LC,Lecco,N,2000-12-31T00:00:00.000,,5078987,531045,(45.86375, 9.39995)
10291,Ammoniaca,µg/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,S,2007-03-17T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
10299,Benzene,µg/m³,653,Brescia v.Ziziola,125,BS,Brescia,S,1997-10-15T00:00:00.000,2018-07-30T00:00:00.000,5040836,595170,(45.51456, 10.218464)
10300,Monossido di Carbonio,mg/m³,660,Ospitaletto v. XXV aprile,155,BS,Ospitaletto,S,2007-08-02T00:00:00.000,2018-07-30T00:00:00.000,5044985,584681,(45.553253, 10.084916)
10301,Benzene,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N,2006-11-07T00:00:00.000,,5077479,530713,(45.850193, 9.395577)
10320,PM10 (SM2005),µg/m³,548,Milano v.Senato,118,MI,Milano,N,2007-08-10T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
10321,Biossido di Azoto,µg/m³,707,Mortara v. Trento,108,PV,Mortara,S,2007-10-04T00:00:00.000,2021-05-12T00:00:00.000,5011280,479925,(45.25473, 8.744154)
10323,Ossidi di Azoto,µg/m³,707,Mortara v. Trento,108,PV,Mortara,S,2007-10-04T00:00:00.000,2021-05-12T00:00:00.000,5011280,479925,(45.25473, 8.744154)
10324,Ozono,µg/m³,707,Mortara v. Trento,108,PV,Mortara,S,2007-10-04T00:00:00.000,2021-05-12T00:00:00.000,5011280,479925,(45.25473, 8.744154)
10326,Biossido di Azoto,µg/m³,708,Parona v. della Miseria,112,PV,Parona,N,2007-10-01T00:00:00.000,,5014300,480733,(45.281937, 8.754334)
10327,Biossido di Zolfo,µg/m³,708,Parona v. della Miseria,112,PV,Parona,N,2007-08-15T00:00:00.000,,5014300,480733,(45.281937, 8.754334)
10329,Ossidi di Azoto,µg/m³,708,Parona v. della Miseria,112,PV,Parona,N,2007-10-01T00:00:00.000,,5014300,480733,(45.281937, 8.754334)
10330,Particolato Totale Sospeso,µg/m³,708,Parona v. della Miseria,112,PV,Parona,S,2007-08-08T00:00:00.000,2010-10-20T00:00:00.000,5014300,480733,(45.281937, 8.754334)
10331,Biossido di Azoto,µg/m³,709,Vigevano v.Valletta,109,PV,Vigevano,N,2007-08-08T00:00:00.000,,5016690,487833,(45.303608, 8.844805)
10333,Ossidi di Azoto,µg/m³,709,Vigevano v.Valletta,109,PV,Vigevano,N,2007-08-08T00:00:00.000,,5016690,487833,(45.303608, 8.844805)
10335,PM10 (SM2005),µg/m³,709,Vigevano v.Valletta,109,PV,Vigevano,N,2007-08-08T00:00:00.000,,5016690,487833,(45.303608, 8.844805)
10336,Particolato Totale Sospeso,µg/m³,709,Vigevano v.Valletta,109,PV,Vigevano,S,2007-08-07T00:00:00.000,,5016690,487833,(45.303608, 8.844805)
10339,PM10 (SM2005),µg/m³,629,Crema v.XI febbraio,79,CR,Crema,N,2007-09-25T00:00:00.000,,5023885,555127,(45.36631, 9.703945)
10343,PM10 (SM2005),µg/m³,708,Parona v. della Miseria,112,PV,Parona,N,2007-09-28T00:00:00.000,,5014300,480733,(45.281937, 8.754334)
10346,Particelle sospese PM2.5,µg/m³,707,Mortara v. Trento,108,PV,Mortara,S,2007-12-01T00:00:00.000,2021-05-12T00:00:00.000,5011280,479925,(45.25473, 8.744154)
10347,Particelle sospese PM2.5,µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2007-12-21T00:00:00.000,,5002356,641122,(45.16057, 10.795564)
10349,Particelle sospese PM2.5,µg/m³,527,Castano Primo v. Olimpiadi,175,MI,Castano Primo,S,2007-03-03T00:00:00.000,2017-01-01T00:00:00.000,5043625,482522,(45.545944, 8.776105)
10350,Ozono,µg/m³,532,Cuggiono v. Languria,156,MI,Cuggiono,S,2007-02-28T00:00:00.000,2017-01-01T00:00:00.000,5038680,484723,(45.501484, 8.804454)
10352,PM10 (SM2005),µg/m³,517,Turbigo vicolo dello sport,141,MI,Turbigo,N,2008-01-01T00:00:00.000,,5041480,479423,(45.52655, 8.736497)
10354,PM10 (SM2005),µg/m³,516,Robecchetto con Induno v. Pertini,135,MI,Robecchetto con Induno,S,2008-06-27T00:00:00.000,2017-01-01T00:00:00.000,5040503,481768,(45.517822, 8.766562)
10355,Monossido di Carbonio,mg/m³,516,Robecchetto con Induno v. Pertini,135,MI,Robecchetto con Induno,S,2007-02-28T00:00:00.000,2017-01-01T00:00:00.000,5040503,481768,(45.517822, 8.766562)
10384,Benzene,µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,2007-01-01T00:00:00.000,,4994371,492461,(45.102768, 8.904175)
10390,PM10 (SM2005),µg/m³,556,Gallarate  P.zza S.Lorenzo,240,VA,Gallarate,S,2003-01-01T00:00:00.000,2018-07-30T00:00:00.000,5056010,484229,(45.65746, 8.797571)
10396,Particelle sospese PM2.5,µg/m³,674,Monza v.Machiavelli,162,MB,Monza,N,2008-12-19T00:00:00.000,,5047450,521343,(45.580265, 9.273573)
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,2008-12-20T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
10405,PM10 (SM2005),µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,2008-12-19T00:00:00.000,,5060449,551482,(45.69568, 9.661249)
10406,Ossidi di Azoto,µg/m³,1263,Villa di Serio v. Glera,280,BG,Villa di Serio,S,2008-10-08T00:00:00.000,2018-07-30T00:00:00.000,5064969,557447,(45.735893, 9.738395)
10407,Biossido di Azoto,µg/m³,1263,Villa di Serio v. Glera,280,BG,Villa di Serio,S,2008-10-08T00:00:00.000,2018-07-30T00:00:00.000,5064969,557447,(45.735893, 9.738395)
10411,Monossido di Carbonio,mg/m³,1263,Villa di Serio v. Glera,280,BG,Villa di Serio,S,2008-10-07T00:00:00.000,2011-09-12T00:00:00.000,5064969,557447,(45.735893, 9.738395)
10413,PM10 (SM2005),µg/m³,1263,Villa di Serio v. Glera,280,BG,Villa di Serio,S,2008-10-07T00:00:00.000,2018-07-30T00:00:00.000,5064969,557447,(45.735893, 9.738395)
10431,Ossidi di Azoto,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-11-11T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
10432,Biossido di Azoto,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2009-01-04T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
10433,Biossido di Zolfo,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,S,2009-01-04T00:00:00.000,2012-01-04T00:00:00.000,5113073,567873,(46.167854, 9.8792095)
10437,Ozono,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2009-01-04T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
10438,Particelle sospese PM2.5,µg/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-11-11T00:00:00.000,,5113073,567873,(46.167854, 9.8792095)
10449,Particelle sospese PM2.5,µg/m³,560,Varese v.Copelli,383,VA,Varese,N,2009-09-01T00:00:00.000,,5073728,486035,(45.816975, 8.820241)
10450,Particelle sospese PM2.5,µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2008-12-23T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
10451,Ossidi di Azoto,µg/m³,1265,Lodi S.Alberto,76,LO,Lodi,N,2009-08-03T00:00:00.000,,5016706,538829,(45.302784, 9.495274)
10452,Biossido di Azoto,µg/m³,1265,Lodi S.Alberto,76,LO,Lodi,N,2009-08-03T00:00:00.000,,5016706,538829,(45.302784, 9.495274)
10454,Ozono,µg/m³,1265,Lodi S.Alberto,76,LO,Lodi,N,2009-08-03T00:00:00.000,,5016706,538829,(45.302784, 9.495274)
10456,Particelle sospese PM2.5,µg/m³,1265,Lodi S.Alberto,76,LO,Lodi,N,2009-08-03T00:00:00.000,,5016706,538829,(45.302784, 9.495274)
10457,Ossidi di Azoto,µg/m³,1266,Bertonico v.Moro,65,LO,Bertonico,N,2009-08-03T00:00:00.000,,5009105,552297,(45.233494, 9.66625)
10458,Biossido di Azoto,µg/m³,1266,Bertonico v.Moro,65,LO,Bertonico,N,2009-08-03T00:00:00.000,,5009105,552297,(45.233494, 9.66625)
10463,Ozono,µg/m³,1266,Bertonico v.Moro,65,LO,Bertonico,N,2009-08-03T00:00:00.000,,5009105,552297,(45.233494, 9.66625)
10473,Ossidi di Azoto,µg/m³,1267,Turano Lodigiano v. Gramsci,65,LO,Turano Lodigiano,S,2009-08-03T00:00:00.000,2017-03-31T00:00:00.000,5010942,548751,(45.250282, 9.621258)
10474,Benzene,µg/m³,1267,Turano Lodigiano v. Gramsci,65,LO,Turano Lodigiano,S,2010-01-01T00:00:00.000,2017-03-31T00:00:00.000,5010942,548751,(45.250282, 9.621258)
10475,Biossido di Azoto,µg/m³,1267,Turano Lodigiano v. Gramsci,65,LO,Turano Lodigiano,S,2009-08-03T00:00:00.000,2017-03-31T00:00:00.000,5010942,548751,(45.250282, 9.621258)
10477,Monossido di Carbonio,mg/m³,1267,Turano Lodigiano v. Gramsci,65,LO,Turano Lodigiano,S,2009-08-03T00:00:00.000,2017-03-31T00:00:00.000,5010942,548751,(45.250282, 9.621258)
10479,Particelle sospese PM2.5,µg/m³,1267,Turano Lodigiano v. Gramsci,65,LO,Turano Lodigiano,S,2009-08-03T00:00:00.000,2017-03-31T00:00:00.000,5010942,548751,(45.250282, 9.621258)
10483,PM10 (SM2005),µg/m³,1265,Lodi S.Alberto,76,LO,Lodi,N,2009-08-03T00:00:00.000,,5016706,538829,(45.302784, 9.495274)
10484,PM10 (SM2005),µg/m³,1266,Bertonico v.Moro,65,LO,Bertonico,N,2009-08-03T00:00:00.000,,5009105,552297,(45.233494, 9.66625)
10491,PM10 (SM2005),µg/m³,681,Moggio Loc. Penscei,1194,LC,Moggio,N,2009-03-31T00:00:00.000,,5084478,538586,(45.91279, 9.497539)
10501,PM10 (SM2005),µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2008-12-23T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
10505,Ossidi di Azoto,µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-02-12T00:00:00.000,,5055304,546847,(45.649704, 9.601223)
10506,Benzene,µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-09-01T00:00:00.000,,5055304,546847,(45.649704, 9.601223)
10507,Biossido di Azoto,µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-02-12T00:00:00.000,,5055304,546847,(45.649704, 9.601223)
10511,Monossido di Carbonio,mg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-02-12T00:00:00.000,,5055304,546847,(45.649704, 9.601223)
10516,Biossido di Zolfo,µg/m³,671,Mantova Tridolino,22,MN,Mantova,S,2010-03-30T00:00:00.000,2017-01-01T00:00:00.000,5001664,646147,(45.15332, 10.859264)
10547,Particelle sospese PM2.5,µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-02-26T00:00:00.000,,5055304,546847,(45.649704, 9.601223)
10548,PM10 (SM2005),µg/m³,1269,Dalmine v.Verdi,207,BG,Dalmine,N,2010-02-26T00:00:00.000,,5055304,546847,(45.649704, 9.601223)
10580,Biossido di Zolfo,µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N,2010-09-01T00:00:00.000,,4998110,579872,(45.131947, 10.015741)
10581,Biossido di Azoto,µg/m³,1274,Perledo P.zza della stazione,212,LC,Perledo,N,2010-09-01T00:00:00.000,,5095846,522171,(46.015827, 9.286409)
10583,Ossidi di Azoto,µg/m³,1274,Perledo P.zza della stazione,212,LC,Perledo,N,2010-09-01T00:00:00.000,,5095846,522171,(46.015827, 9.286409)
10584,Ozono,µg/m³,1274,Perledo P.zza della stazione,212,LC,Perledo,N,2010-09-01T00:00:00.000,,5095846,522171,(46.015827, 9.286409)
10586,Particelle sospese PM2.5,µg/m³,677,Cremona Via Fatebenefratelli,43,CR,Cremona,N,2010-07-28T00:00:00.000,,4999315,582066,(45.14254, 10.043837)
10587,Ammoniaca,µg/m³,1266,Bertonico v.Moro,65,LO,Bertonico,N,2009-03-04T00:00:00.000,,5009105,552297,(45.233494, 9.66625)
11041,Biossido di Zolfo,µg/m³,674,Monza v.Machiavelli,162,MB,Monza,N,2011-02-10T00:00:00.000,,5047450,521343,(45.580265, 9.273573)
12016,Ossidi di Azoto,µg/m³,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,2011-02-08T00:00:00.000,,5000087,573153,(45.15047, 9.930596)
12017,Biossido di Azoto,µg/m³,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,2011-02-08T00:00:00.000,,5000087,573153,(45.15047, 9.930596)
12020,Ozono,µg/m³,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,2011-02-04T00:00:00.000,,5000087,573153,(45.15047, 9.930596)
12022,Particelle sospese PM2.5,µg/m³,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,2011-02-16T00:00:00.000,,5000087,573153,(45.15047, 9.930596)
12028,PM10 (SM2005),µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N,2011-02-04T00:00:00.000,,5004590,512932,(45.194675, 9.1646385)
12029,Particelle sospese PM2.5,µg/m³,706,Lecco v.Sora,272,LC,Lecco,N,2000-12-31T00:00:00.000,,5078987,531045,(45.86375, 9.39995)
12531,PM10 (SM2005),µg/m³,1297,Spinadesco v.Battisti,48,CR,Spinadesco,N,2011-02-16T00:00:00.000,,5000087,573153,(45.15047, 9.930596)
12570,Particelle sospese PM2.5,µg/m³,561,Como v.Cattaneo,202,CO,Como,N,2011-09-23T00:00:00.000,,5073500,505203,(45.815044, 9.066972)
12574,Particelle sospese PM2.5,µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,2013-01-07T00:00:00.000,,4994371,492461,(45.102768, 8.904175)
12577,Particelle sospese PM2.5,µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N,2012-01-01T00:00:00.000,,4998110,579872,(45.131947, 10.015741)
12579,Biossido di Azoto,µg/m³,1303,Cremona v.Gerre Borghi,36,CR,Cremona,S,2012-01-01T00:00:00.000,2017-01-01T00:00:00.000,4995675,584111,(45.10954, 10.069231)
12581,Ozono,µg/m³,1303,Cremona v.Gerre Borghi,36,CR,Cremona,S,2012-01-01T00:00:00.000,2018-01-01T00:00:00.000,4995675,584111,(45.10954, 10.069231)
12583,Ammoniaca,µg/m³,1303,Cremona v.Gerre Borghi,36,CR,Cremona,S,2012-01-01T00:00:00.000,2017-01-01T00:00:00.000,4995675,584111,(45.10954, 10.069231)
12584,PM10 (SM2005),µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N,2012-01-01T00:00:00.000,,4998110,579872,(45.131947, 10.015741)
12585,PM10 (SM2005),µg/m³,1303,Cremona v.Gerre Borghi,36,CR,Cremona,S,2012-01-01T00:00:00.000,2017-01-01T00:00:00.000,4995675,584111,(45.10954, 10.069231)
12587,Ossidi di Azoto,µg/m³,1303,Cremona v.Gerre Borghi,36,CR,Cremona,S,2011-10-14T00:00:00.000,2017-01-01T00:00:00.000,4995675,584111,(45.10954, 10.069231)
12588,Nikel,ng/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2008-04-01T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
12589,Arsenico,ng/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2008-04-01T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
12590,Cadmio,ng/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2008-04-01T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
12591,Piombo,ng/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2008-04-01T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
12593,Benzo(a)pirene,ng/m³,669,Brescia Villaggio Sereno,70,BS,Brescia,N,2008-04-18T00:00:00.000,,5040636,593101,(45.51304, 10.191942)
12596,Arsenico,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,,5038450,543458,(45.498226, 9.556232)
12597,Cadmio,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,,5038450,543458,(45.498226, 9.556232)
12598,Piombo,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,,5038450,543458,(45.498226, 9.556232)
12600,Benzo(a)pirene,ng/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,N,2008-04-24T00:00:00.000,,5038450,543458,(45.498226, 9.556232)
12601,Nikel,ng/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2008-04-18T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
12602,Arsenico,ng/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2008-04-18T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
12603,Cadmio,ng/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2008-04-18T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
12604,Piombo,ng/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2008-04-18T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
12605,Benzo(a)pirene,ng/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,N,2008-04-17T00:00:00.000,,5080789,591371,(45.874603, 10.177357)
12607,Nikel,ng/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,2008-04-15T00:00:00.000,,5034328,490635,(45.462418, 8.880211)
