,Data,IdSensore,Valore,idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,storico,datastart,datastop,cgb_nord,cgb_est,lat,lng,coordinate
35,2011-12-05,20,0.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
36,2011-12-08,20,3.4000000000000004,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
37,2011-02-16,20,11.600000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
38,2011-02-17,20,1.2000000000000002,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
39,2011-02-18,20,2.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
40,2011-02-20,20,0.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
41,2011-02-21,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
42,2011-02-27,20,2.8000000000000003,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
43,2011-02-28,20,1.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
44,2011-03-13,20,1.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
45,2011-03-14,20,2.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
46,2011-03-16,20,4.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
47,2011-03-17,20,9.200000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
48,2011-03-18,20,11.200000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
49,2011-03-19,20,1.4000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
50,2011-03-27,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
51,2011-03-28,20,2.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
52,2011-03-03,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
53,2011-03-31,20,0.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
54,2011-04-24,20,6.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
55,2011-04-27,20,2.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
56,2011-04-28,20,8.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
57,2011-04-29,20,7.800000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
58,2011-04-04,20,0.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
59,2011-05-12,20,2.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
60,2011-05-14,20,7.6000000000000005,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
61,2011-05-15,20,1.8,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
62,2011-05-17,20,0.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
63,2011-05-19,20,1.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
64,2011-05-21,20,2.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
65,2011-05-22,20,1.4000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
66,2011-05-26,20,9.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
67,2011-05-27,20,56.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
68,2011-05-28,20,7.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
69,2011-05-03,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
70,2011-05-31,20,26.400000000000002,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
71,2011-06-01,20,3.4000000000000004,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
72,2011-06-10,20,5.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
73,2011-06-11,20,11.0,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
74,2011-06-13,20,5.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
75,2011-06-14,20,0.6000000000000001,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
76,2011-06-15,20,0.2,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
77,2011-06-16,20,9.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
78,2011-06-17,20,12.4,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
79,2011-06-18,20,40.6,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
80,2011-06-02,20,2.8000000000000003,20,Precipitazione,mm,13,Valdidentro Cancano,1948,SO,N,1988-05-03,9999-12-31 00:00:00,5152051,601015,46.51444625854492,10.316822052001953,"(46.514446, 10.316822)"
