,Data,IdSensore,Valore,idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,storico,datastart,datastop,cgb_nord,cgb_est,lat,lng,coordinate
37,2011-10-09,2202,0.6194444444444445,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
38,2011-11-05,2202,1.0756944444444445,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
39,2011-11-08,2202,1.5020833333333334,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
40,2011-12-16,2202,1.1659722222222222,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
41,2011-12-17,2202,1.3416666666666666,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
42,2011-12-18,2202,0.8166666666666667,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
43,2011-12-19,2202,0.7833333333333333,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
44,2011-12-20,2202,0.33125000000000004,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
45,2011-12-21,2202,0.24930555555555556,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
46,2011-12-23,2202,0.16805555555555554,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
47,2011-12-30,2202,1.3034722222222221,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
48,2011-12-31,2202,0.6187499999999999,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
49,2011-12-08,2202,0.26319444444444445,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
50,2011-02-01,2202,0.3423611111111111,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
51,2011-02-10,2202,0.6722222222222222,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
52,2011-02-11,2202,0.5777777777777778,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
53,2011-02-12,2202,0.6402777777777778,2202,Velocità Vento,m/s,115,Ispra tetto,193,VA,S,2001-10-26,2012-08-01 00:00:00,5073482,470058,45.81425094604492,8.614601135253906,"(45.81425, 8.614601)"
